Participant,Block,Trial,StimLeft,StimRight
25,1,1,obj14.png,obj00.png
25,1,2,obj06.png,obj13.png
25,1,3,obj06.png,obj07.png
25,1,4,obj00.png,obj09.png
25,1,5,obj01.png,obj20.png
25,1,6,obj11.png,obj04.png
25,1,7,obj03.png,obj05.png
25,1,8,obj20.png,obj03.png
25,1,9,obj09.png,obj07.png
25,1,10,obj04.png,obj13.png
25,1,11,obj06.png,obj09.png
25,1,12,obj13.png,obj14.png
25,1,13,obj03.png,obj13.png
25,1,14,obj04.png,obj00.png
25,1,15,obj00.png,obj11.png
25,1,16,obj04.png,obj20.png
25,1,17,obj09.png,obj11.png
25,1,18,obj00.png,obj06.png
25,1,19,obj09.png,obj14.png
25,1,20,obj00.png,obj02.png
25,1,21,obj11.png,obj20.png
25,1,22,obj00.png,obj03.png
25,1,23,obj14.png,obj04.png
25,1,24,obj12.png,obj13.png
25,1,25,obj07.png,obj04.png
25,1,26,obj06.png,obj01.png
25,1,27,obj13.png,obj05.png
25,1,28,obj12.png,obj11.png
25,1,29,obj11.png,obj02.png
25,1,30,obj14.png,obj12.png
25,1,31,obj12.png,obj09.png
25,1,32,obj02.png,obj12.png
25,1,33,obj11.png,obj05.png
25,1,34,obj01.png,obj05.png
25,1,35,obj03.png,obj01.png
25,1,36,obj00.png,obj12.png
25,1,37,obj13.png,obj01.png
25,1,38,obj20.png,obj09.png
25,1,39,obj01.png,obj02.png
25,1,40,obj02.png,obj13.png
25,1,41,obj13.png,obj20.png
25,1,42,obj11.png,obj13.png
25,1,43,obj14.png,obj06.png
25,1,44,obj02.png,obj14.png
25,1,45,obj05.png,obj09.png
25,1,46,obj03.png,obj07.png
25,1,47,obj01.png,obj12.png
25,1,48,obj07.png,obj02.png
25,1,49,obj04.png,obj02.png
25,1,50,obj07.png,obj13.png
25,1,51,obj04.png,obj01.png
25,1,52,obj03.png,obj06.png
25,1,53,obj11.png,obj07.png
25,1,54,obj12.png,obj04.png
25,1,55,obj12.png,obj06.png
25,1,56,obj03.png,obj09.png
25,1,57,obj02.png,obj06.png
25,1,58,obj00.png,obj01.png
25,1,59,obj05.png,obj12.png
25,1,60,obj20.png,obj00.png
25,1,61,obj20.png,obj07.png
25,1,62,obj02.png,obj05.png
25,1,63,obj07.png,obj00.png
25,1,64,obj06.png,obj05.png
25,1,65,obj11.png,obj06.png
25,1,66,obj09.png,obj04.png
25,1,67,obj05.png,obj00.png
25,1,68,obj14.png,obj07.png
25,1,69,obj11.png,obj01.png
25,1,70,obj05.png,obj04.png
25,1,71,obj12.png,obj07.png
25,1,72,obj20.png,obj12.png
25,1,73,obj09.png,obj01.png
25,1,74,obj11.png,obj14.png
25,1,75,obj20.png,obj05.png
25,1,76,obj06.png,obj20.png
25,1,77,obj05.png,obj14.png
25,1,78,obj02.png,obj09.png
25,1,79,obj01.png,obj07.png
25,1,80,obj09.png,obj13.png
25,1,81,obj11.png,obj03.png
25,1,82,obj04.png,obj03.png
25,1,83,obj04.png,obj06.png
25,1,84,obj13.png,obj00.png
25,1,85,obj07.png,obj05.png
25,1,86,obj02.png,obj20.png
25,1,87,obj02.png,obj03.png
25,1,88,obj20.png,obj14.png
25,1,89,obj01.png,obj14.png
25,1,90,obj03.png,obj12.png
25,1,91,obj03.png,obj14.png
