,Participant,Block,Trial,StimLeft,StimRight
0,6,1,1,obj00.png,obj05.png
1,6,1,2,obj07.png,obj06.png
2,6,1,3,obj12.png,obj11.png
3,6,1,4,obj11.png,obj04.png
4,6,1,5,obj13.png,obj05.png
5,6,1,6,obj09.png,obj12.png
6,6,1,7,obj11.png,obj05.png
7,6,1,8,obj07.png,obj00.png
8,6,1,9,obj01.png,obj06.png
9,6,1,10,obj06.png,obj02.png
10,6,1,11,obj03.png,obj04.png
11,6,1,12,obj05.png,obj07.png
12,6,1,13,obj02.png,obj13.png
13,6,1,14,obj00.png,obj06.png
14,6,1,15,obj06.png,obj09.png
15,6,1,16,obj13.png,obj03.png
16,6,1,17,obj05.png,obj06.png
17,6,1,18,obj20.png,obj04.png
18,6,1,19,obj20.png,obj02.png
19,6,1,20,obj02.png,obj05.png
20,6,1,21,obj03.png,obj11.png
21,6,1,22,obj04.png,obj12.png
22,6,1,23,obj09.png,obj04.png
23,6,1,24,obj00.png,obj02.png
24,6,1,25,obj02.png,obj03.png
25,6,1,26,obj05.png,obj14.png
26,6,1,27,obj11.png,obj01.png
27,6,1,28,obj09.png,obj01.png
28,6,1,29,obj09.png,obj07.png
29,6,1,30,obj12.png,obj02.png
30,6,1,31,obj07.png,obj04.png
31,6,1,32,obj07.png,obj01.png
32,6,1,33,obj05.png,obj03.png
33,6,1,34,obj03.png,obj12.png
34,6,1,35,obj20.png,obj12.png
35,6,1,36,obj14.png,obj04.png
36,6,1,37,obj03.png,obj07.png
37,6,1,38,obj11.png,obj13.png
38,6,1,39,obj06.png,obj03.png
39,6,1,40,obj11.png,obj00.png
40,6,1,41,obj06.png,obj20.png
41,6,1,42,obj01.png,obj05.png
42,6,1,43,obj09.png,obj14.png
43,6,1,44,obj20.png,obj13.png
44,6,1,45,obj20.png,obj07.png
45,6,1,46,obj04.png,obj06.png
46,6,1,47,obj11.png,obj06.png
47,6,1,48,obj20.png,obj09.png
48,6,1,49,obj11.png,obj07.png
49,6,1,50,obj07.png,obj02.png
50,6,1,51,obj00.png,obj09.png
51,6,1,52,obj20.png,obj11.png
52,6,1,53,obj06.png,obj13.png
53,6,1,54,obj13.png,obj00.png
54,6,1,55,obj01.png,obj00.png
55,6,1,56,obj14.png,obj20.png
56,6,1,57,obj02.png,obj01.png
57,6,1,58,obj06.png,obj12.png
58,6,1,59,obj13.png,obj12.png
59,6,1,60,obj03.png,obj00.png
60,6,1,61,obj12.png,obj14.png
61,6,1,62,obj01.png,obj14.png
62,6,1,63,obj05.png,obj04.png
63,6,1,64,obj04.png,obj13.png
64,6,1,65,obj09.png,obj13.png
65,6,1,66,obj06.png,obj14.png
66,6,1,67,obj13.png,obj01.png
67,6,1,68,obj14.png,obj07.png
68,6,1,69,obj09.png,obj05.png
69,6,1,70,obj04.png,obj00.png
70,6,1,71,obj04.png,obj02.png
71,6,1,72,obj11.png,obj14.png
72,6,1,73,obj02.png,obj11.png
73,6,1,74,obj04.png,obj01.png
74,6,1,75,obj20.png,obj00.png
75,6,1,76,obj13.png,obj14.png
76,6,1,77,obj20.png,obj01.png
77,6,1,78,obj14.png,obj03.png
78,6,1,79,obj00.png,obj14.png
79,6,1,80,obj14.png,obj02.png
80,6,1,81,obj12.png,obj07.png
81,6,1,82,obj11.png,obj09.png
82,6,1,83,obj12.png,obj00.png
83,6,1,84,obj09.png,obj03.png
84,6,1,85,obj07.png,obj13.png
85,6,1,86,obj20.png,obj05.png
86,6,1,87,obj05.png,obj12.png
87,6,1,88,obj01.png,obj03.png
88,6,1,89,obj01.png,obj12.png
89,6,1,90,obj03.png,obj20.png
90,6,1,91,obj02.png,obj09.png
