,Participant,Block,Trial,StimLeft,StimRight
0,1,1,1,obj13.png,obj05.png
1,1,1,2,obj02.png,obj09.png
2,1,1,3,obj01.png,obj09.png
3,1,1,4,obj07.png,obj02.png
4,1,1,5,obj02.png,obj01.png
5,1,1,6,obj03.png,obj02.png
6,1,1,7,obj05.png,obj09.png
7,1,1,8,obj11.png,obj09.png
8,1,1,9,obj09.png,obj12.png
9,1,1,10,obj05.png,obj01.png
10,1,1,11,obj12.png,obj00.png
11,1,1,12,obj13.png,obj01.png
12,1,1,13,obj20.png,obj05.png
13,1,1,14,obj03.png,obj07.png
14,1,1,15,obj07.png,obj13.png
15,1,1,16,obj20.png,obj09.png
16,1,1,17,obj09.png,obj03.png
17,1,1,18,obj04.png,obj00.png
18,1,1,19,obj13.png,obj20.png
19,1,1,20,obj14.png,obj01.png
20,1,1,21,obj07.png,obj00.png
21,1,1,22,obj00.png,obj20.png
22,1,1,23,obj11.png,obj04.png
23,1,1,24,obj14.png,obj02.png
24,1,1,25,obj09.png,obj07.png
25,1,1,26,obj00.png,obj01.png
26,1,1,27,obj09.png,obj00.png
27,1,1,28,obj00.png,obj06.png
28,1,1,29,obj20.png,obj04.png
29,1,1,30,obj11.png,obj13.png
30,1,1,31,obj05.png,obj04.png
31,1,1,32,obj06.png,obj14.png
32,1,1,33,obj02.png,obj13.png
33,1,1,34,obj11.png,obj00.png
34,1,1,35,obj12.png,obj13.png
35,1,1,36,obj14.png,obj05.png
36,1,1,37,obj20.png,obj07.png
37,1,1,38,obj20.png,obj14.png
38,1,1,39,obj04.png,obj01.png
39,1,1,40,obj12.png,obj02.png
40,1,1,41,obj03.png,obj06.png
41,1,1,42,obj11.png,obj05.png
42,1,1,43,obj12.png,obj06.png
43,1,1,44,obj04.png,obj09.png
44,1,1,45,obj14.png,obj04.png
45,1,1,46,obj11.png,obj07.png
46,1,1,47,obj02.png,obj06.png
47,1,1,48,obj11.png,obj14.png
48,1,1,49,obj13.png,obj00.png
49,1,1,50,obj12.png,obj11.png
50,1,1,51,obj20.png,obj03.png
51,1,1,52,obj20.png,obj06.png
52,1,1,53,obj01.png,obj12.png
53,1,1,54,obj00.png,obj05.png
54,1,1,55,obj01.png,obj11.png
55,1,1,56,obj00.png,obj02.png
56,1,1,57,obj20.png,obj11.png
57,1,1,58,obj09.png,obj06.png
58,1,1,59,obj20.png,obj01.png
59,1,1,60,obj11.png,obj03.png
60,1,1,61,obj14.png,obj00.png
61,1,1,62,obj12.png,obj04.png
62,1,1,63,obj12.png,obj07.png
63,1,1,64,obj03.png,obj13.png
64,1,1,65,obj03.png,obj04.png
65,1,1,66,obj03.png,obj14.png
66,1,1,67,obj07.png,obj14.png
67,1,1,68,obj04.png,obj13.png
68,1,1,69,obj03.png,obj05.png
69,1,1,70,obj14.png,obj12.png
70,1,1,71,obj11.png,obj02.png
71,1,1,72,obj12.png,obj05.png
72,1,1,73,obj13.png,obj06.png
73,1,1,74,obj03.png,obj01.png
74,1,1,75,obj06.png,obj07.png
75,1,1,76,obj02.png,obj04.png
76,1,1,77,obj01.png,obj07.png
77,1,1,78,obj20.png,obj12.png
78,1,1,79,obj04.png,obj07.png
79,1,1,80,obj04.png,obj06.png
80,1,1,81,obj06.png,obj01.png
81,1,1,82,obj14.png,obj13.png
82,1,1,83,obj13.png,obj09.png
83,1,1,84,obj11.png,obj06.png
84,1,1,85,obj03.png,obj00.png
85,1,1,86,obj14.png,obj09.png
86,1,1,87,obj06.png,obj05.png
87,1,1,88,obj07.png,obj05.png
88,1,1,89,obj03.png,obj12.png
89,1,1,90,obj02.png,obj05.png
90,1,1,91,obj02.png,obj20.png
