Participant,Block,Trial,StimLeft,StimRight
4,1,1,obj14.png,obj05.png
4,1,2,obj13.png,obj05.png
4,1,3,obj20.png,obj05.png
4,1,4,obj12.png,obj06.png
4,1,5,obj05.png,obj03.png
4,1,6,obj11.png,obj07.png
4,1,7,obj03.png,obj11.png
4,1,8,obj01.png,obj02.png
4,1,9,obj11.png,obj01.png
4,1,10,obj05.png,obj00.png
4,1,11,obj05.png,obj07.png
4,1,12,obj03.png,obj20.png
4,1,13,obj02.png,obj20.png
4,1,14,obj02.png,obj11.png
4,1,15,obj02.png,obj04.png
4,1,16,obj03.png,obj07.png
4,1,17,obj01.png,obj12.png
4,1,18,obj09.png,obj04.png
4,1,19,obj14.png,obj13.png
4,1,20,obj04.png,obj12.png
4,1,21,obj06.png,obj20.png
4,1,22,obj07.png,obj02.png
4,1,23,obj03.png,obj14.png
4,1,24,obj04.png,obj13.png
4,1,25,obj04.png,obj00.png
4,1,26,obj03.png,obj02.png
4,1,27,obj02.png,obj06.png
4,1,28,obj03.png,obj12.png
4,1,29,obj04.png,obj03.png
4,1,30,obj00.png,obj11.png
4,1,31,obj09.png,obj14.png
4,1,32,obj09.png,obj06.png
4,1,33,obj02.png,obj14.png
4,1,34,obj04.png,obj11.png
4,1,35,obj20.png,obj12.png
4,1,36,obj06.png,obj04.png
4,1,37,obj06.png,obj05.png
4,1,38,obj00.png,obj14.png
4,1,39,obj07.png,obj13.png
4,1,40,obj14.png,obj11.png
4,1,41,obj13.png,obj06.png
4,1,42,obj09.png,obj20.png
4,1,43,obj13.png,obj02.png
4,1,44,obj11.png,obj09.png
4,1,45,obj03.png,obj01.png
4,1,46,obj03.png,obj09.png
4,1,47,obj09.png,obj05.png
4,1,48,obj07.png,obj04.png
4,1,49,obj20.png,obj13.png
4,1,50,obj12.png,obj05.png
4,1,51,obj12.png,obj07.png
4,1,52,obj04.png,obj14.png
4,1,53,obj02.png,obj05.png
4,1,54,obj00.png,obj07.png
4,1,55,obj12.png,obj02.png
4,1,56,obj01.png,obj09.png
4,1,57,obj01.png,obj07.png
4,1,58,obj12.png,obj14.png
4,1,59,obj12.png,obj00.png
4,1,60,obj02.png,obj00.png
4,1,61,obj06.png,obj14.png
4,1,62,obj09.png,obj12.png
4,1,63,obj03.png,obj13.png
4,1,64,obj06.png,obj00.png
4,1,65,obj20.png,obj07.png
4,1,66,obj11.png,obj12.png
4,1,67,obj03.png,obj00.png
4,1,68,obj20.png,obj00.png
4,1,69,obj02.png,obj09.png
4,1,70,obj04.png,obj05.png
4,1,71,obj13.png,obj00.png
4,1,72,obj06.png,obj07.png
4,1,73,obj14.png,obj20.png
4,1,74,obj03.png,obj06.png
4,1,75,obj07.png,obj09.png
4,1,76,obj13.png,obj12.png
4,1,77,obj00.png,obj09.png
4,1,78,obj11.png,obj06.png
4,1,79,obj20.png,obj11.png
4,1,80,obj01.png,obj04.png
4,1,81,obj13.png,obj01.png
4,1,82,obj01.png,obj00.png
4,1,83,obj05.png,obj11.png
4,1,84,obj06.png,obj01.png
4,1,85,obj14.png,obj01.png
4,1,86,obj20.png,obj04.png
4,1,87,obj13.png,obj09.png
4,1,88,obj07.png,obj14.png
4,1,89,obj01.png,obj05.png
4,1,90,obj20.png,obj01.png
4,1,91,obj13.png,obj11.png
