,Participant,Block,Trial,StimLeft,StimRight
0,7,1,1,obj01.png,obj09.png
1,7,1,2,obj06.png,obj05.png
2,7,1,3,obj02.png,obj20.png
3,7,1,4,obj03.png,obj07.png
4,7,1,5,obj12.png,obj11.png
5,7,1,6,obj03.png,obj13.png
6,7,1,7,obj20.png,obj07.png
7,7,1,8,obj03.png,obj00.png
8,7,1,9,obj03.png,obj05.png
9,7,1,10,obj02.png,obj00.png
10,7,1,11,obj07.png,obj04.png
11,7,1,12,obj13.png,obj06.png
12,7,1,13,obj06.png,obj11.png
13,7,1,14,obj02.png,obj12.png
14,7,1,15,obj05.png,obj12.png
15,7,1,16,obj20.png,obj00.png
16,7,1,17,obj11.png,obj03.png
17,7,1,18,obj04.png,obj01.png
18,7,1,19,obj05.png,obj09.png
19,7,1,20,obj13.png,obj11.png
20,7,1,21,obj06.png,obj04.png
21,7,1,22,obj04.png,obj09.png
22,7,1,23,obj00.png,obj04.png
23,7,1,24,obj14.png,obj05.png
24,7,1,25,obj09.png,obj06.png
25,7,1,26,obj14.png,obj20.png
26,7,1,27,obj12.png,obj13.png
27,7,1,28,obj14.png,obj01.png
28,7,1,29,obj00.png,obj09.png
29,7,1,30,obj07.png,obj13.png
30,7,1,31,obj07.png,obj05.png
31,7,1,32,obj05.png,obj11.png
32,7,1,33,obj13.png,obj01.png
33,7,1,34,obj14.png,obj06.png
34,7,1,35,obj03.png,obj01.png
35,7,1,36,obj12.png,obj04.png
36,7,1,37,obj06.png,obj03.png
37,7,1,38,obj13.png,obj05.png
38,7,1,39,obj00.png,obj07.png
39,7,1,40,obj05.png,obj04.png
40,7,1,41,obj11.png,obj20.png
41,7,1,42,obj12.png,obj20.png
42,7,1,43,obj13.png,obj20.png
43,7,1,44,obj20.png,obj06.png
44,7,1,45,obj12.png,obj01.png
45,7,1,46,obj09.png,obj07.png
46,7,1,47,obj20.png,obj05.png
47,7,1,48,obj12.png,obj09.png
48,7,1,49,obj04.png,obj14.png
49,7,1,50,obj14.png,obj02.png
50,7,1,51,obj14.png,obj11.png
51,7,1,52,obj13.png,obj09.png
52,7,1,53,obj11.png,obj00.png
53,7,1,54,obj07.png,obj11.png
54,7,1,55,obj09.png,obj14.png
55,7,1,56,obj02.png,obj09.png
56,7,1,57,obj07.png,obj02.png
57,7,1,58,obj04.png,obj20.png
58,7,1,59,obj02.png,obj06.png
59,7,1,60,obj01.png,obj11.png
60,7,1,61,obj07.png,obj12.png
61,7,1,62,obj06.png,obj01.png
62,7,1,63,obj05.png,obj01.png
63,7,1,64,obj02.png,obj01.png
64,7,1,65,obj14.png,obj07.png
65,7,1,66,obj11.png,obj04.png
66,7,1,67,obj20.png,obj03.png
67,7,1,68,obj14.png,obj03.png
68,7,1,69,obj01.png,obj20.png
69,7,1,70,obj13.png,obj02.png
70,7,1,71,obj13.png,obj14.png
71,7,1,72,obj03.png,obj04.png
72,7,1,73,obj09.png,obj11.png
73,7,1,74,obj00.png,obj14.png
74,7,1,75,obj06.png,obj12.png
75,7,1,76,obj14.png,obj12.png
76,7,1,77,obj00.png,obj06.png
77,7,1,78,obj02.png,obj04.png
78,7,1,79,obj11.png,obj02.png
79,7,1,80,obj12.png,obj00.png
80,7,1,81,obj13.png,obj04.png
81,7,1,82,obj02.png,obj03.png
82,7,1,83,obj09.png,obj03.png
83,7,1,84,obj05.png,obj02.png
84,7,1,85,obj03.png,obj12.png
85,7,1,86,obj00.png,obj05.png
86,7,1,87,obj01.png,obj00.png
87,7,1,88,obj13.png,obj00.png
88,7,1,89,obj06.png,obj07.png
89,7,1,90,obj07.png,obj01.png
90,7,1,91,obj09.png,obj20.png
